Date,1 year,2 year,3 year,4 year,5 year,6 year,7 years,8 years,9 years,10 years,15 year,20 years
5/12/11,5.46,5.545,5.66,5.725,5.79,5.89,5.855,5.885,5.92,5.95,5.97,6
5/13/11,5.59,5.625,5.7,5.735,5.773,5.84,5.855,5.885,5.92,5.95,5.97,6
5/16/11,5.59,5.62,5.69,5.717,5.75,5.83,5.835,5.87,5.915,5.93,5.95,5.98
5/17/11,5.6,5.64,5.68,5.703,5.72,5.82,5.805,5.855,5.905,5.94,5.96,5.99
5/18/11,5.63,5.65,5.69,5.71,5.72,5.8,5.8,5.857,5.93,5.96,5.98,6.01
5/19/11,5.65,5.67,5.71,5.73,5.75,5.77,5.825,5.877,5.925,5.99,6.01,6.04
5/20/11,5.63,5.67,5.71,5.73,5.745,5.77,5.83,5.885,5.935,6,6.02,6.05
5/23/11,5.61,5.65,5.69,5.72,5.74,5.79,5.83,5.885,5.935,6,6.02,6.05
5/24/11,5.64,5.67,5.703,5.735,5.76,5.79,5.83,5.885,5.935,6,6.02,6.05
5/25/11,5.64,5.66,5.705,5.737,5.77,5.79,5.83,5.88,5.935,6,6.02,6.05
5/26/11,5.67,5.69,5.73,5.765,5.8,5.8,5.86,5.905,5.97,6.017,6.04,6.05
5/27/11,5.66,5.67,5.72,5.77,5.81,5.8,5.87,5.907,5.955,6.02,6.04,6.07
5/31/11,5.66,5.655,5.71,5.75,5.8,5.84,5.86,5.897,5.945,6.02,6.03,6.07
6/1/11,5.58,5.62,5.663,5.71,5.76,5.84,5.83,5.857,5.905,5.967,5.98,6.01
6/2/11,5.58,5.6,5.66,5.71,5.76,5.83,5.82,5.857,5.905,5.96,5.98,6.01
6/3/11,5.57,5.595,5.65,5.7,5.755,5.79,5.81,5.855,5.905,5.96,5.98,6.01
6/7/11,5.56,5.57,5.64,5.715,5.76,5.785,5.82,5.865,5.915,5.96,5.98,6.01
6/8/11,5.61,5.63,5.645,5.743,5.81,5.79,5.84,5.895,5.97,5.993,6.02,6.05
6/9/11,5.62,5.64,5.687,5.765,5.85,5.795,5.865,5.91,5.955,6.01,6.04,6.05
6/10/11,5.63,5.64,5.69,5.78,5.855,5.825,5.885,5.915,5.99,6.02,6.04,6.07
6/13/11,5.65,5.67,5.73,5.84,5.92,5.865,5.93,5.963,5.995,6.047,6.07,6.11
6/14/11,5.65,5.67,5.73,5.805,5.885,5.88,5.945,5.965,5.98,5.99,6.01,6.04
6/15/11,5.68,5.68,5.73,5.803,5.86,5.925,5.915,5.945,5.965,5.97,5.99,6.04
6/16/11,5.69,5.67,5.71,5.775,5.84,5.92,5.91,5.93,5.95,5.97,5.99,6.02
6/17/11,5.71,5.68,5.71,5.775,5.84,5.885,5.91,5.93,5.95,5.97,5.99,6.02
6/21/11,5.72,5.67,5.72,5.777,5.83,5.88,5.91,5.927,5.93,5.97,5.99,6.02
6/22/11,5.73,5.69,5.733,5.785,5.84,5.88,5.905,5.93,5.94,5.95,5.97,6.01
6/23/11,5.72,5.65,5.725,5.785,5.82,5.86,5.89,5.9,5.91,5.925,5.94,5.98
6/24/11,5.71,5.655,5.725,5.775,5.83,5.865,5.885,5.9,5.91,5.92,5.94,5.97
6/28/11,5.72,5.66,5.73,5.775,5.84,5.86,5.885,5.895,5.94,5.92,5.96,5.99
6/29/11,5.74,5.67,5.743,5.787,5.857,5.86,5.885,5.897,5.93,5.927,5.96,5.99
6/30/11,5.73,5.67,5.74,5.787,5.853,5.865,5.885,5.897,5.93,5.925,5.96,5.99
7/1/11,5.72,5.67,5.735,5.783,5.85,5.88,5.87,5.897,5.93,5.925,5.96,5.99
7/5/11,5.73,5.695,5.745,5.797,5.86,5.88,5.9,5.915,5.93,5.94,5.96,6.02
7/6/11,5.73,5.7,5.755,5.807,5.867,5.88,5.9,5.91,5.92,5.93,5.95,5.98
7/7/11,5.74,5.75,5.8,5.85,5.89,5.89,5.92,5.93,5.94,5.94,5.96,5.99
7/8/11,5.73,5.74,5.815,5.857,5.885,5.89,5.92,5.925,5.94,5.94,5.96,5.99
7/11/11,5.7,5.69,5.765,5.807,5.84,5.91,5.885,5.89,5.9,5.915,5.94,5.96
7/12/11,5.67,5.675,5.755,5.805,5.82,5.91,5.885,5.887,5.9,5.91,5.93,5.99
7/13/11,5.64,5.655,5.745,5.797,5.82,5.86,5.885,5.89,5.9,5.91,5.93,5.98
7/14/11,5.63,5.645,5.73,5.745,5.763,5.86,5.84,5.857,5.9,5.885,5.91,5.96
7/15/11,5.61,5.625,5.7,5.73,5.775,5.86,5.845,5.843,5.86,5.867,5.89,5.94
7/19/11,5.6,5.64,5.733,5.77,5.81,5.86,5.855,5.865,5.875,5.877,5.9,5.93
7/20/11,5.56,5.605,5.695,5.72,5.75,5.8,5.815,5.82,5.84,5.845,5.87,5.9
7/21/11,5.58,5.6,5.68,5.7,5.75,5.84,5.79,5.81,5.825,5.833,5.85,5.88
7/22/11,5.59,5.61,5.685,5.71,5.75,5.79,5.805,5.81,5.825,5.83,5.85,5.9
7/26/11,5.64,5.65,5.72,5.75,5.763,5.77,5.8,5.805,5.82,5.83,5.85,5.89
7/27/11,5.64,5.625,5.71,5.74,5.75,5.77,5.8,5.795,5.81,5.83,5.85,5.88
7/28/11,5.61,5.62,5.693,5.72,5.73,5.79,5.785,5.795,5.82,5.83,5.85,5.88
7/29/11,5.57,5.575,5.65,5.685,5.695,5.785,5.725,5.747,5.79,5.8,5.8,5.84
8/1/11,5.52,5.52,5.595,5.635,5.64,5.75,5.725,5.72,5.74,5.75,5.77,5.8
8/2/11,5.47,5.475,5.55,5.57,5.575,5.72,5.65,5.67,5.7,5.71,5.73,5.77
8/3/11,5.46,5.4,5.455,5.475,5.47,5.67,5.575,5.59,5.605,5.63,5.64,5.69
8/4/11,5.36,5.28,5.31,5.325,5.33,5.62,5.41,5.45,5.47,5.503,5.52,5.57
8/5/11,5.29,5.24,5.247,5.265,5.27,5.51,5.35,5.38,5.41,5.44,5.46,5.51
8/8/11,5.08,5.055,5.073,5.093,5.09,5.37,5.245,5.21,5.24,5.265,5.28,5.36
8/9/11,5.08,5.06,5.08,5.095,5.1,5.31,5.17,5.205,5.24,5.26,5.28,5.33
8/10/11,4.9,4.82,4.847,4.88,4.91,5.225,5.01,5.03,5.09,5.11,5.14,5.2
8/11/11,4.95,4.85,4.885,4.92,4.96,5.14,5.03,5.08,5.12,5.14,5.16,5.2
8/12/11,5.06,4.96,4.975,4.99,5.01,4.96,5.085,5.127,5.17,5.2,5.22,5.25
8/17/11,5.1,4.98,5.01,5.035,5.065,5.03,5.155,5.195,5.24,5.28,5.3,5.32
8/18/11,4.92,4.78,4.79,4.84,4.91,5.06,5.01,5.06,5.1,5.14,5.16,5.21
